column,selected,seen,scheme_name,label_key,value,concept_uri,pref_label,broader_uri,depth,n_children,is_leaf
k_health-outcomes_sub_b_sub_c|5,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,5,https://vocab.destiny-evidence.org/health-outcomes/DSNY000413,Pancreatitis,https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
k_health-outcomes_sub_b_sub_c|6,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,6,https://vocab.destiny-evidence.org/health-outcomes/DSNY000408,Paralytic ileus and intestinal obstruction,https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
k_health-outcomes_sub_b_sub_c|7,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,7,https://vocab.destiny-evidence.org/health-outcomes/DSNY000406,Upper digestive system diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
k_health-outcomes_sub_b_sub_c|8,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,8,https://vocab.destiny-evidence.org/health-outcomes/DSNY000411,Vascular intestinal disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
k_health-outcomes_sub_b_sub_c|9,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_c,9,https://vocab.destiny-evidence.org/health-outcomes/DSNY000414,Z_Other digestive diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000404,3,0,True
k_health-outcomes_sub_b_sub_d|0,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000427,Anxiety disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub|2,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000390,Cardiomyopathy and myocarditis,https://vocab.destiny-evidence.org/health-outcomes/DSNY000384,3,0,True
k_health-outcomes_sub_b_sub|3,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000395,Endocarditis,https://vocab.destiny-evidence.org/health-outcomes/DSNY000384,3,0,True
k_health-outcomes_sub_b_sub|4,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub,4,https://vocab.destiny-evidence.org/health-outcomes/DSNY000388,Hypertensive heart disease,https://vocab.destiny-evidence.org/health-outcomes/DSNY000384,3,0,True
k_health-outcomes_sub_b_sub_d|4,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,4,https://vocab.destiny-evidence.org/health-outcomes/DSNY000431,Conduct disorder,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub_d|5,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,5,https://vocab.destiny-evidence.org/health-outcomes/DSNY000425,Depressive disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub_d|6,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,6,https://vocab.destiny-evidence.org/health-outcomes/DSNY000428,Eating disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
