prompt,output_data_type,attribute_id,attribute_label,concept_id
Civil service; Government; Public sector; Public services,bool,483,Public administration (Sector),DSNY000124
Built environment; Construction; Housing; Residential sector,bool,475,Buildings / housing (Sector),DSNY000116
Digital infrastructure; Digital sector; ICT sector; Tech sector; Technology sector; Telecommunications,bool,481,Information and communications technologies (Sector),DSNY000123
Energy sector; Extractive industries; Mining; Power and resource extraction; Power generation,bool,477,Energy and extractives (Sector),DSNY000118
Safety nets; Social security; Social services; Social welfare; Welfare; Welfare systems,bool,484,Social protection (Sector),DSNY000121
Banking; Financial sector; Financial services; Investment,bool,478,Finance (Sector),DSNY000119
Logistics; Mobility; Transport,bool,485,Transportation (Sector),DSNY000125
Sanitation; WASH sector; Waste management; Water sector,bool,486,"Water, sanitation, and waste management (Sector)",DSNY000126
Farming; Food production; Forestry and fisheries,bool,474,"Agriculture, fishing, and forestry (Sector)",DSNY000115
Armed forces; Army; Defense industry; Defense infrastructure; Defense sector; Security sector,bool,482,Military (Sector),DSNY000224
Commerce; Industry; Manufacturing; Trade,bool,480,"Industry, trade, and services (Sector)",DSNY000122
Academic institutions; Learning sector; Schools,bool,476,Education (Sector),DSNY000117
Care facilities; Health sector; Health services; Health systems; Hospitals; Medical services,bool,479,Healthcare (Sector),DSNY000120
19 to 44 year olds; Early adulthood; Working age; Young adults,bool,449,5.1. Adult (19-44 years),DSNY000256
45 to 64 year olds; Mid-life; Middle adulthood; Middle age; Middle-aged adults,bool,450,5.2. Middle aged (45-64 years),DSNY000257
6 to 12 year olds; Middle childhood; Pre-adolescent; Pre-teen; Primary school age; School children,bool,448,3.2. Child (6-12 years),DSNY000253
80 and over; Advanced old age; Late old age; Octogenarians; Oldest adults; Oldest old; Very old,bool,453,Aged (80 years and older),DSNY000260
Babies; Infant age group; Infants; Under 2s,bool,442,2. Infant (1-23 months),DSNY000249
Adolescence; Teenagers; Teens; Young people; Young person; Youth,bool,444,4. Adolescent (13-18 years),DSNY000254
65 and over; Elderly; Late adulthood; Older adults; Older people; Senior citizens,bool,451,5.3. Aged (65 years and older),DSNY000258
